"Advanced Reports","Advanced Reports"
"Range","Range"
"Today","Today"
"Yesterday","Yesterday"
"Last 7 days","Last 7 days"
"Last week","Last week"
"Last business week (Mon - Fri)","Last business week (Mon - Fri)"
"This month","This month"
"Last month","Last month"
"All Time","All Time"
"Custom date range","Custom date range"
"Charts Options","Charts Options"
"Bestsellers Report","Bestsellers Report"
"Advanced","Advanced"
"Bestsellers","Bestsellers"
"Percent","Percent"
"Sales by Country","Sales by Country"
"Sales by Hour","Sales by Hour"
"Sales by Day of Week","Sales by Day of Week"
"Day of Week","Day of Week"
"Sales by Product","Sales by Product"
"Enter product SKUs, separated by comma","Enter product SKUs, separated by comma"
"Day","Day"
"Week","Week"
"Month","Month"
"Quarter","Quarter"
"Year","Year"
"CSV","CSV"
"Excel","Excel"
"Height (px)","Height (px)"
"Chart color","Chart color"
"Font size (px)","Font size (px)"
"Font color","Font color"
"Background color","Background color"
"Configuration","Configuration"
"Process orders","Process orders"
"Mon","Mon"
"Tue","Tue"
"Wed","Wed"
"Thu","Thu"
"Fri","Fri"
"Sat","Sat"
"Sun","Sun"
"Complete","Complete"
"Pending","Pending"
"Processing","Processing"
"Closed","Closed"
"Canceled","Canceled"
"Holded","Holded"
"Q","Q"
"Users Activity Report","Users Activity Report"
"New Accounts","New Accounts"
"Orders","Orders"
"Reviews","Reviews"
"Sales Report","Sales Report"
"View Order","View Order"
"View Product","View Product"
"Sales by Customer Group","Sales by Customer Group"
"Customer Group","Customer Group"
"Order #","Order #"
"Order Date","Order Date"
"SKU","SKU"
"Country","Country"
"Region","Region"
"Zip Code","Zip Code"
"Product Name","Product Name"
"Quantity","Quantity"
"Manufacturer","Manufacturer"
"Quantity","Quantity"
"Cost","Cost"
"Subtotal","Subtotal"
"Tax","Tax"
"Discounts","Discounts"
"Total","Total"
"Invoiced","Invoiced"
"Refunded","Refunded"
"View Order","View Order"
"View Product","View Product"
"Products by Customer","Products by Customer"
"Items Purchased","Items Purchased"
"Number of Customers","Number of Customers"
"Modules","Modules"
