") is incompatible with LiqPay.",") несовместима с LiqPay."
"Customer successfully got back from LiqPay payment interface.","Покупатель благополучно вернулся со страницы интерфейса оплаты LiqPay."
"Customer switch over to LiqPay payment interface.","Покупатель перешел на страницу интерфейса оплаты LiqPay."
"Enabled","Включено"
"Error during creation of invoice.","Ошибка при создании счета."
"Invoice #%s created.","Счет #%s создан."
"LiqPay","LiqPay"
"LiqPay error.","Ошибка LiqPay."
"Merchant ID","ID продавца"
"New order e-mail was sent to customer.","Письмо о новом заказе было отправленно покупателю."
"New order status","Статус нового заказа"
"Order total amount does not match LiqPay gross total amount.","Сумма заказа не соответствует сумме счета LiqPay."
"Phone","Телефон"
"Security check failed!","Проверка безопасности не прошла!"
"Selected currency (","Данная валюта ("
"Signature","Подпись"
"Title","Название"
"Waiting for verification from the LiqPay side.","Ожидаем результатов проверки на стороне LiqPay."
"Way of payment","Способ оплаты"
"You will be redirected to LiqPay payment interface in a few seconds.","Вы будете перенаправленны на страницу интерфейса оплаты LiqPay через несколько секунд."
"Visa / MasterCard credit cards payment effected through the LiqPay payment system.","Оплата пластиковыми картами Visa / MasterCard производится через платежную систему LiqPay."
"Credit card's data input is making on the site's purchasing system. You will be redirected on the payment's page after confirmation of your order on the next step.","Ввод данных пластиковой карты происходит на сайте платежной системы. Вы будете перенаправлены на страницу оплаты после подтверждения своего заказа на следующем шаге."
"Visa / MasterCard credit cards payment effected through the LiqPay payment system.","Оплата пластиковыми картами Visa / MasterCard производится через платежную систему LiqPay."
